guide_id,disaster_type,title,content,easy_content,keywords,source
1,태풍,태풍 특보 중 행동요령,"- TV, 라디오 등을 통해 기상정보를 청취하여 내가 있는 지역의 상황을 지속적으로 파악하고, 주변에 있는 사람들에게 알려 줍니다","TV, 라디오 등을 통해 기상정보를 청취하여 내가 있는 지역의 상황을 지속적으로 파악하고, 주변에 있는 사람들에게 알려 줍니다",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
2,태풍,태풍 예보시 행동요령,"- TV, 라디오, 인터넷, 스마트폰 등으로 기상상황을 미리 파악하여 어떻게 할지를 준비합니다.","TV, 라디오, 인터넷, 스마트폰 등으로 기상상황을 미리 파악하여 어떻게 할지를 준비합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
3,태풍,태풍 특보 중 행동요령,"- 가스 누출로 2차 피해가 발생할 수 있으므로 미리 차단하고, 감전 위험이 있는 집 안팎의 전기시설은 만지지 않도록 합니다.","가스 누출로 2차 피해가 발생할 수 있으므로 미리 차단하고, 감전 위험이 있는 집 안팎의 전기시설은 만지지 않도록 합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
4,태풍,태풍 특보 중 행동요령,"- 가족, 지인, 이웃과 연락하여 안전을 확인하고 위험정보 등을 공유합니다.","가족, 지인, 이웃과 연락하여 안전을 확인하고 위험정보 등을 공유합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
5,태풍,태풍 이후 행동요령,"- 가족과 지인에게 연락하여 안전 여부를 확인하고, 연락이 되지 않고 실종이 의심될 경우에는 가까운 경찰서에 신고합니다.","가족과 지인에게 연락하여 안전 여부를 확인하고, 연락이 되지 않고 실종이 의심될 경우에는 가까운 경찰서에 신고합니다.",태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
6,태풍,태풍 예보시 행동요령,- 가족과 함께 가정의 하수구나 집 주변의 배수구를 미리 점검하고 막힌 곳은 뚫습니다.,가족과 함께 가정의 하수구나 집 주변의 배수구를 미리 점검하고 막힌 곳은 뚫습니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
7,태풍,태풍 특보 중 행동요령,- 강풍으로 인해 피해를 입지 않도록 가급적 욕실과 같이 창문이 없는 방이나 집안의 제일 안쪽으로 이동합니다.,강풍으로 인해 피해를 입지 않도록 가급적 욕실과 같이 창문이 없는 방이나 집안의 제일 안쪽으로 이동합니다.,태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
8,태풍,태풍 특보 중 행동요령,"- 건물의 출입문, 창문은 닫아서 파손되지 않도록 하고, 창문이나 유리문에서 되도록 떨어져 있도록 합니다.","건물의 출입문, 창문은 닫아서 파손되지 않도록 하고, 창문이나 유리문에서 되도록 떨어져 있도록 합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
9,태풍,태풍 이후 행동요령,"- 고립된 지역에서는 무리하게 물을 건너지 말고, 119에 신고하거나 주변에 도움을 요청합니다.","고립된 지역에서는 무리하게 물을 건너지 말고, 119에 신고하거나 주변에 도움을 요청합니다.",태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
10,태풍,태풍 특보 중 행동요령,"- 공사장, 전신주, 지하 공간 등 위험지역에는 접근하지 않도록 합니다.","공사장, 전신주, 지하 공간 등 위험지역에는 접근하지 않도록 합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
11,태풍,태풍 예보시 행동요령,"- 긴급 상황에 따른 정보 수신을 위해 스마트폰에 안전디딤돌 앱을 설치하고, 가까운 행정복지센터(주민센터) 등과의 긴급 연락망을 확인합니다.","긴급 상황에 따른 정보 수신을 위해 스마트폰에 안전디딤돌 앱을 설치하고, 가까운 행정복지센터(주민센터) 등과의 긴급 연락망을 확인합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
12,태풍,태풍 특보 중 행동요령,- 농촌지역에서는 논둑이나 물꼬를 보러 나가지 않습니다.,농촌지역에서는 논둑이나 물꼬를 보러 나가지 않습니다.,태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
13,태풍,태풍 이후 행동요령,- 대피 후 집으로 돌아온 경우 반드시 주택 등의 안전 여부를 확인하고 출입합니다.,대피 후 집으로 돌아온 경우 반드시 주택 등의 안전 여부를 확인하고 출입합니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
14,태풍,태풍 특보 중 행동요령,"- 대피할 때는 침수되거나 파손된 도로, 교량 주변은 피하도록 합니다.","대피할 때는 침수되거나 파손된 도로, 교량 주변은 피하도록 합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
15,태풍,태풍 이후 행동요령,- 물이 빠져나가고 있을 때에는 기름이나 동물 사체 등 오염된 경우가 많으므로 물에서 멀리 떨어져 있도록 합니다.,물이 빠져나가고 있을 때에는 기름이나 동물 사체 등 오염된 경우가 많으므로 물에서 멀리 떨어져 있도록 합니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
16,태풍,태풍 예보시 행동요령,"- 바람에 날아갈 위험이 있는 지붕, 간판 등은 미리 결박하고, 창문은 창틀에 단단하게 테이프 등으로 고정합니다","바람에 날아갈 위험이 있는 지붕, 간판 등은 미리 결박하고, 창문은 창틀에 단단하게 테이프 등으로 고정합니다",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
17,태풍,태풍 예보시 행동요령,- 비상시 신속한 대피를 위해 응급용품은 미리 배낭 등에 넣어둡니다.,비상시 신속한 대피를 위해 응급용품은 미리 배낭 등에 넣어둡니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
18,태풍,태풍 예보시 행동요령,"- 산간·계곡, 하천, 방파제 등에서 야영이나 물놀이를 멈추고 주변에 있는 사람들에게 알려 함께 안전한 곳으로 대피합니다.","산간·계곡, 하천, 방파제 등에서 야영이나 물놀이를 멈추고 주변에 있는 사람들에게 알려 함께 안전한 곳으로 대피합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
19,태풍,태풍 예보시 행동요령,- 상수도 공급이 중단될 수 있으므로 욕실 등에 미리 물을 받아둡니다.,상수도 공급이 중단될 수 있으므로 욕실 등에 미리 물을 받아둡니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
20,태풍,태풍 예보시 행동요령,- 선박이나 어망·어구 등은 미리 결박하여 피해를 최소화하도록 합니다.,선박이나 어망·어구 등은 미리 결박하여 피해를 최소화하도록 합니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
21,태풍,태풍 이후 행동요령,- 수돗물이나 저장되었던 식수는 오염 여부를 확인한 후에 사용합니다.,수돗물이나 저장되었던 식수는 오염 여부를 확인한 후에 사용합니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
22,태풍,태풍 예보시 행동요령,- 스마트폰 애플리케이션(안전디딤돌)을 통해 재난정보를 파악하여 주변 사람들과 공유합니다.,스마트폰 애플리케이션(안전디딤돌)을 통해 재난정보를 파악하여 주변 사람들과 공유합니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
23,태풍,태풍 예보시 행동요령,"- 시설하우스 등 농업 시설물은 버팀목이나 비닐 끈 등으로 단단히 묶고, 농경지는 배수로를 정비하여 피해를 예방합니다.","시설하우스 등 농업 시설물은 버팀목이나 비닐 끈 등으로 단단히 묶고, 농경지는 배수로를 정비하여 피해를 예방합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
24,태풍,태풍 이후 행동요령,"- 쓰러진 농작물은 일으켜 세우고, 침수된 논과 밭을 배수할 때에는 작물에 묻은 흙, 오물 등을 씻어내고 긴급 병해충 방제를 실시합니다.","쓰러진 농작물은 일으켜 세우고, 침수된 논과 밭을 배수할 때에는 작물에 묻은 흙, 오물 등을 씻어내고 긴급 병해충 방제를 실시합니다.",태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
25,태풍,태풍 예보시 행동요령,"- 약속된 일정은 취소하거나 조정하여 외출을 자제하고, 주변에 정보를 알려 줍니다.","약속된 일정은 취소하거나 조정하여 외출을 자제하고, 주변에 정보를 알려 줍니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
26,태풍,태풍 예보시 행동요령,"- 연세 많은 어르신, 어린이, 장애인 등은 외출을 하지 않도록 당부하고 수시로 전화 등을 통해 안부를 확인합니다.","연세 많은 어르신, 어린이, 장애인 등은 외출을 하지 않도록 당부하고 수시로 전화 등을 통해 안부를 확인합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
27,태풍,태풍 특보 중 행동요령,- 운행 중인 선박은 주변에 있는 선박이나 해경에 현재 위치를 알려주고 태풍의 이동경로에서 최대한 멀리 대피합니다.,운행 중인 선박은 주변에 있는 선박이나 해경에 현재 위치를 알려주고 태풍의 이동경로에서 최대한 멀리 대피합니다.,태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
28,태풍,태풍 특보 중 행동요령,- 이동식 가옥이나 임시 시설에 거주할 경우에는 견고한 건물로 즉시 이동하고 주변에 있는 사람들에게 위험지역을 알려줍니다.,이동식 가옥이나 임시 시설에 거주할 경우에는 견고한 건물로 즉시 이동하고 주변에 있는 사람들에게 위험지역을 알려줍니다.,태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
29,태풍,태풍 예보시 행동요령,"- 저지대나 상습 침수지역, 산사태 위험지역, 지하 공간이나 붕괴 우려가 있는 노후주택·건물 등에서는 주변에 있는 사람들에게 알려주고 안전한 곳으로 이동합니다.","저지대나 상습 침수지역, 산사태 위험지역, 지하 공간이나 붕괴 우려가 있는 노후주택·건물 등에서는 주변에 있는 사람들에게 알려주고 안전한 곳으로 이동합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
30,태풍,태풍 예보시 행동요령,"- 정전에 대비하여 비상용 랜턴, 양초, 배터리 등을 미리 준비해 둡니다.","정전에 대비하여 비상용 랜턴, 양초, 배터리 등을 미리 준비해 둡니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
31,태풍,태풍 특보 중 행동요령,"- 정전이 발생한 경우 양초를 사용하지 말고 휴대용 랜턴, 휴대폰 등을 사용합니다.","정전이 발생한 경우 양초를 사용하지 말고 휴대용 랜턴, 휴대폰 등을 사용합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
32,태풍,태풍 예보시 행동요령,"- 지역 주민과 함께 공사장, 축대, 옹벽 등을 미리 점검합니다.","지역 주민과 함께 공사장, 축대, 옹벽 등을 미리 점검합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
33,태풍,태풍 특보 중 행동요령,"- 차량은 속도를 줄여 운행하고, 하천변, 해안가 등 급류에 휩쓸릴 수 있는 지역이나 침수 위험지역에는 접근하지 말고 주변에 있는 사람들에게 알려 줍니다.","차량은 속도를 줄여 운행하고, 하천변, 해안가 등 급류에 휩쓸릴 수 있는 지역이나 침수 위험지역에는 접근하지 말고 주변에 있는 사람들에게 알려 줍니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
34,태풍,태풍 예보시 행동요령,"- 침수가 예상되는 아파트 지하주차장, 건물 등은 모래주머니, 물막이 판 등을 이용하여 침수를 예방할 수 있도록 준비합니다.","침수가 예상되는 아파트 지하주차장, 건물 등은 모래주머니, 물막이 판 등을 이용하여 침수를 예방할 수 있도록 준비합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
